"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"53","5","COMPARTMENTS","#a6cee3","Caveola","3.32E-7","CAV2|EHD2|KCNMA1|CAV1|CAVIN1","9129","2792|2586|2590|2788|2584","1.44E-10","","GOCC:0005901","1.0","0"
"78","5","GO Cellular Component","#1f78b4","Caveola","1.86E-6","CAV2|EHD2|KCNMA1|CAV1|CAVIN1","9129","2792|2586|2590|2788|2584","9.07E-10","","GO:0005901","0.8844897653040684","0"
"22","4","STRING Clusters","#b2df8a","Mixed, incl. Plasma membrane tubulation, and Cavin family","5.35E-6","CAV2|EHD2|CAV1|CAVIN1","9129","2792|2586|2788|2584","1.17E-9","","CL:14982","0.8136685556948294","0"
"6","3","STRING Clusters","#33a02c","Cavin family, and Caveolar macromolecular signaling complex","2.11E-5","CAV2|CAV1|CAVIN1","9129","2792|2788|2584","1.45E-8","","CL:15007","0.7216880997172828","0"
"676","7","COMPARTMENTS","#fb9a99","Plasma membrane region","3.04E-5","CAV2|EHD2|KCNMA1|CAV1|FLRT3|CAVIN1|NHS","9129","2792|2586|2590|2788|2434|2584|2418","3.96E-8","","GOCC:0098590","0.6972098610451227","0"
"1237","8","GO Cellular Component","#ffffff","Plasma membrane region","6.66E-5","CAV2|EHD2|KCNMA1|CAV1|FLRT3|CAVIN1|NHS|CIT","9129","2792|2586|2590|2788|2434|2584|2418|2448","9.76E-8","","GO:0098590","0.6446387999603276","0"
"70","4","Reactome Pathways","","RHOB GTPase cycle","2.0E-4","CAV1|CAVIN1|CIT|PCDH7","9129","2788|2584|2448|2420","8.85E-8","","HSA-9013026","0.5709289767439217","0"
"3535","10","COMPARTMENTS","","Plasma membrane","6.2E-4","CAV2|EHD2|KCNMA1|CAV1|FLRT3|CAVIN1|AHNAK2|NHS|TRPC1|PCDH7","9129","2792|2586|2590|2788|2434|2584|2316|2418|2372|2420","1.62E-6","","GOCC:0005886","0.49508823493116993","0"
"2","2","COMPARTMENTS","","Caveolar macromolecular signaling complex","6.7E-4","CAV2|CAV1","9129","2792|2788","2.04E-6","","GOCC:0002095","0.4898893105463407","0"
"2","2","GO Cellular Component","","Caveolar macromolecular signaling complex","7.0E-4","CAV2|CAV1","9129","2792|2788","2.04E-6","","GO:0002095","0.48695311009027265","0"
"148","4","Reactome Pathways","","RHOA GTPase cycle","0.0018","CAV1|CAVIN1|CIT|PCDH7","9129","2788|2584|2448|2420","1.6E-6","","HSA-8980692","0.42364346244099066","0"
"5544","11","GO Cellular Component","","Plasma membrane","0.0023","CAV2|EHD2|KCNMA1|CAV1|FLRT3|CAVIN1|AHNAK2|NHS|CIT|TRPC1|PCDH7","9129","2792|2586|2590|2788|2434|2584|2316|2418|2448|2372|2420","7.87E-6","","GO:0005886","0.4072122848221985","0"
"449","5","Reactome Pathways","","RHO GTPase cycle","0.0033","CAV1|CAVIN1|NHS|CIT|PCDH7","9129","2788|2584|2418|2448|2420","4.39E-6","","HSA-9012999","0.3830126482369615","0"
"5","2","UniProt Keywords","","Congenital generalized lipodystrophy","0.0048","CAV1|CAVIN1","9129","2788|2584","7.12E-6","","KW-1022","0.35789599972676567","0"
"73","3","Reactome Pathways","","RHOC GTPase cycle","0.0067","CAV1|CAVIN1|CIT","9129","2788|2584|2448","1.18E-5","","HSA-9013106","0.33554121470488607","0"
"3","2","Pfam","","Caveolin","0.0078","CAV2|CAV1","9129","2792|2788","3.39E-6","","PF01146","0.3253511842886493","0"
"416","4","GO Cellular Component","","Focal adhesion","0.02","CAV2|CAV1|FLRT3|NHS","9129","2792|2788|2434|2418","8.78E-5","","GO:0005925","0.26223278506101244","0"
"3","2","InterPro Domains","","Caveolin","0.0244","CAV2|CAV1","9129","2792|2788","3.39E-6","","IPR001612","0.24890330963917462","0"
"3","2","InterPro Domains","","Caveolin, conserved site","0.0244","CAV2|CAV1","9129","2792|2788","3.39E-6","","IPR018361","0.24890330963917462","0"
"161","4","Monarch Phenotype","","Mandibular prognathia","0.0271","SH3PXD2B|CAV1|CAVIN1|NHS","9129","2350|2788|2584|2418","2.22E-6","","HP:0000303","0.2418682060786199","0"
"30","2","GO Cellular Component","","Acrosomal membrane","0.031","CAV2|CAV1","9129","2792|2788","1.7E-4","","GO:0002080","0.2328554498701575","0"
"200","4","Monarch Phenotype","","Heart rate","0.0315","CAV2|KCNMA1|CAV1|CIT","9129","2792|2590|2788|2448","5.17E-6","","EFO:0004326","0.23178290656778372","0"
"5","2","DISEASES","","Congenital generalized lipodystrophy","0.0327","CAV1|CAVIN1","9129","2788|2584","7.12E-6","","DOID:0050585","0.2292767258402944","0"
"167","3","COMPARTMENTS","","Apical plasma membrane","0.0335","KCNMA1|CAV1|NHS","9129","2590|2788|2418","1.3E-4","","GOCC:0016324","0.22765652548532828","0"
"1706","6","GO Cellular Component","","Integral component of plasma membrane","0.0423","CAV2|KCNMA1|CAV1|FLRT3|TRPC1|PCDH7","9129","2792|2590|2788|2434|2372|2420","2.5E-4","","GO:0005887","0.21202174862993436","0"
