GeneSet	Description	p.value	FDR	Phenotype	Genes
Mitotic Sister Chromatid Segregation (GO:0000070)	Mitotic Sister Chromatid Segregation (GO:0000070)	4.89087822468727e-11	1.03784435927864e-07	1	SPAG5,UHRF1,PLK1,KIF14,KNL1,SKA3,NCAPH,SKA1,AURKB,TPX2,CENPE,KIF18B,ESPL1,NUSAP1,BIRC5,FLNA,KIF2C,CEP55,DLGAP5
Positive Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045842)	Positive Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045842)	1.2735535972385e-08	1.35124036667005e-05	1	CDC20,ESPL1,UBE2C,PLK1,SKA3,SKA1,DLGAP5
Positive Regulation of Mitotic Sister Chromatid Separation (GO:1901970)	Positive Regulation of Mitotic Sister Chromatid Separation (GO:1901970)	3.70551309918227e-08	2.62103293215492e-05	1	CDC20,ESPL1,UBE2C,PLK1,BIRC5,AURKB,DLGAP5
Sister Chromatid Segregation (GO:0000819)	Sister Chromatid Segregation (GO:0000819)	7.70874091733179e-08	2.78605921971041e-05	1	TOP2A,KIF18B,SPAG5,ESPL1,PLK1,NUSAP1,KNL1,SKA3,SKA1
Mitotic Nuclear Division (GO:0140014)	Mitotic Nuclear Division (GO:0140014)	8.77103344752515e-08	2.78605921971041e-05	1	KIF18B,ESPL1,SPAG5,UBE2C,NDE1,PLK1,NUSAP1,KNL1,SKA3,SKA1
Spindle Assembly Checkpoint Signaling (GO:0071173)	Spindle Assembly Checkpoint Signaling (GO:0071173)	1.05035220347235e-07	2.78605921971041e-05	1	CDC20,CENPF,NUF2,PLK1,BUB1B,BIRC5,BUB1,SPC25
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	1.05035220347235e-07	2.78605921971041e-05	1	CDC20,CENPF,NUF2,PLK1,BUB1B,BIRC5,BUB1,SPC25
Mitotic Spindle Checkpoint Signaling (GO:0071174)	Mitotic Spindle Checkpoint Signaling (GO:0071174)	1.05035220347235e-07	2.78605921971041e-05	1	CDC20,CENPF,NUF2,PLK1,BUB1B,BIRC5,BUB1,SPC25
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850)	Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850)	1.28349800237462e-07	3.02620306782105e-05	1	CENPE,ESPL1,KIF4A,NUF2,PLK1,NUSAP1,CDK1,BIRC5,DLGAP5,AURKB,SPC25
Negative Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045841)	Negative Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045841)	1.90335889971841e-07	4.03892758520247e-05	1	CDC20,CENPF,NUF2,PLK1,BUB1B,BIRC5,BUB1,SPC25
Cell-substrate Junction Assembly (GO:0007044)	Cell-substrate Junction Assembly (GO:0007044)	2.5165835431596e-07	4.61824657198995e-05	1	COL17A1,ITGB4,PEAK1,ACTN1,TRIP6,SORBS1,CORO2B,FERMT2
Regulation of Thyroid Hormone Generation (GO:2000609)	Regulation of Thyroid Hormone Generation (GO:2000609)	2.61163802374549e-07	4.61824657198995e-05	1	DUOX1,DUOXA1,DUOXA2,GATA3,DUOX2
Attachment of Mitotic Spindle Microtubules to Kinetochore (GO:0051315)	Attachment of Mitotic Spindle Microtubules to Kinetochore (GO:0051315)	1.07510573840716e-06	0.000175490336684615	1	CENPE,NUF2,KIF2C,SKA3,AURKB,SKA1
Positive Regulation of Mitotic Cell Cycle Phase Transition (GO:1901992)	Positive Regulation of Mitotic Cell Cycle Phase Transition (GO:1901992)	1.20608784978613e-06	0.000182808458374726	1	CDC20,CCND2,RRM2,ESPL1,UBE2C,PLK1,CDK1,BIRC5,CDC25C,DLGAP5
Nuclear Chromosome Segregation (GO:0098813)	Nuclear Chromosome Segregation (GO:0098813)	2.27084309663481e-06	0.000321248603403938	1	TOP2A,CENPE,CENPF,KIF2C,SKA3,SKA1
Regulation of Nuclear Division (GO:0051783)	Regulation of Nuclear Division (GO:0051783)	3.18427484691189e-06	0.000404922252488372	1	CDCA2,CAV2,CCDC8,NEK2,CDC25C,MKI67
Positive Regulation of Mitotic Sister Chromatid Segregation (GO:0062033)	Positive Regulation of Mitotic Sister Chromatid Segregation (GO:0062033)	3.28693176311165e-06	0.000404922252488372	1	CDK1,SKA3,AURKB,SKA1
Reactive Oxygen Species Biosynthetic Process (GO:1903409)	Reactive Oxygen Species Biosynthetic Process (GO:1903409)	3.43477876757337e-06	0.000404922252488372	1	DUOX1,DUOXA1,DUOXA2,DUOX2,INAVA
Positive Regulation of Metaphase/Anaphase Transition of Cell Cycle (GO:1902101)	Positive Regulation of Metaphase/Anaphase Transition of Cell Cycle (GO:1902101)	5.48116443105926e-06	0.000612159522247777	1	CDC20,ESPL1,UBE2C,PLK1,DLGAP5
Mitotic Spindle Organization (GO:0007052)	Mitotic Spindle Organization (GO:0007052)	8.12302437787345e-06	0.000861852886492373	1	CENPE,TPX2,UHRF1,KIF4A,NUF2,PLK1,BIRC5,FLNA,DLGAP5,AURKB,SPC25
Cell-matrix Adhesion (GO:0007160)	Cell-matrix Adhesion (GO:0007160)	9.21940018109958e-06	0.00090762811779968	1	COL17A1,ITGB4,ITGA3,PEAK1,ACTN1,TRIP6,ITGB6,SORBS1,CORO2B,VCL,FERMT2,ITGA9
Mitotic Cytokinesis (GO:0000281)	Mitotic Cytokinesis (GO:0000281)	1.01168956990034e-05	0.00090762811779968	1	ESPL1,KIF4A,PLK1,NUSAP1,BIRC5,KIF20A,CEP55,AURKB,CIT
Cell Cycle G2/M Phase Transition (GO:0044839)	Cell Cycle G2/M Phase Transition (GO:0044839)	1.01880930285e-05	0.00090762811779968	1	MELK,PLK1,CDK1,BIRC5,NEK2,FOXM1,CDC25C,AURKB
Focal Adhesion Assembly (GO:0048041)	Focal Adhesion Assembly (GO:0048041)	1.02653510024469e-05	0.00090762811779968	1	PEAK1,ACTN1,TRIP6,SORBS1,CORO2B,FERMT2
Hydrogen Peroxide Biosynthetic Process (GO:0050665)	Hydrogen Peroxide Biosynthetic Process (GO:0050665)	1.48121212943556e-05	0.0012572528554649	1	DUOX1,DUOXA1,DUOXA2,DUOX2
Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071)	Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071)	1.60526940236835e-05	0.00131014679685601	1	CDC20,CENPE,ESPL1,UBE2C,PLK1,MAP3K20,KNL1,DLGAP5
Regulation of Hormone Metabolic Process (GO:0032350)	Regulation of Hormone Metabolic Process (GO:0032350)	2.6200321762778e-05	0.00205915121409685	1	DUOX1,DUOXA1,DUOXA2,DUOX2
Regulation of Mitotic Cell Cycle (GO:0007346)	Regulation of Mitotic Cell Cycle (GO:0007346)	3.16642736408482e-05	0.00234419916983401	1	CDC20,CDCA2,CAV2,CCDC8,PLK1,BIRC5,NEK2,MKI67,CDC25C,FOXM1,MEIS2,DLGAP5
Regulation of Mitotic Nuclear Division (GO:0007088)	Regulation of Mitotic Nuclear Division (GO:0007088)	3.20366521796354e-05	0.00234419916983401	1	CDCA2,CAV2,CCDC8,NUSAP1,NEK2,KNL1,MKI67,CDC25C
G2/M Transition of Mitotic Cell Cycle (GO:0000086)	G2/M Transition of Mitotic Cell Cycle (GO:0000086)	5.09115031698448e-05	0.00360114032421369	1	MELK,PLK1,CDK1,BIRC5,NEK2,FOXM1,CDC25C
Mitotic Cell Cycle Phase Transition (GO:0044772)	Mitotic Cell Cycle Phase Transition (GO:0044772)	5.73173848575709e-05	0.00392346744089566	1	CCNB2,CCND2,MELK,UBE2C,PLK1,CDK1,BIRC5,NEK2,CDC25C,FOXM1,CDKN3
Regulation of Muscle System Process (GO:0090257)	Regulation of Muscle System Process (GO:0090257)	6.6267228653812e-05	0.00430600256361069	1	TPM1,ATP1A2,PPP1R12B,MYL9
Mitotic Metaphase Chromosome Alignment (GO:0007080)	Mitotic Metaphase Chromosome Alignment (GO:0007080)	6.69642245990352e-05	0.00430600256361069	1	CENPE,NUF2,KIF14,KIF2C,SKA3,CEP55,AURKB,SKA1
