GeneSet	Description	p.value	FDR	Phenotype	Genes
Spindle (GO:0005819)	Spindle (GO:0005819)	1.40525258909191e-10	2.62782234160187e-08	1	SPAG5,CKAP2L,UHRF1,PLK1,BUB1B,CAPG,HMMR,SKA3,SHCBP1,SKA1,AURKB,CDC20,TPX2,CENPE,CENPF,ESPL1,KIF4A,NUSAP1,CDK1,BIRC5,KIF2C,KIF20A,DLGAP5
Cell-substrate Junction (GO:0030055)	Cell-substrate Junction (GO:0030055)	3.46110577844915e-10	3.23613390284995e-08	1	COL17A1,ITGB4,TGFB1I1,SYNPO2,FHL1,FHL2,PDLIM1,CNN1,GJA1,CSRP1,ANXA6,FLNA,PGM5,ITGB6,TNS4,TNS1,SVIL,CAV2,ITGA3,ACTN1,CAV1,SORBS1,CORO2B,MMP14,PALLD,PEAK1,TRIP6,FERMT2,LIMS2,VCL,EPHA2
Focal Adhesion (GO:0005925)	Focal Adhesion (GO:0005925)	8.83264946882864e-10	5.50568483556985e-08	1	ITGB4,TGFB1I1,SYNPO2,FHL1,FHL2,PDLIM1,CNN1,GJA1,CSRP1,ANXA6,FLNA,PGM5,ITGB6,TNS4,TNS1,SVIL,CAV2,ITGA3,ACTN1,CAV1,SORBS1,CORO2B,MMP14,PALLD,PEAK1,TRIP6,FERMT2,LIMS2,VCL,EPHA2
Cytoskeleton (GO:0005856)	Cytoskeleton (GO:0005856)	3.54364742094023e-09	1.65665516928956e-07	1	FHOD3,SYNM,SYNPO2,FHL2,LMOD1,KRT23,CAPG,LDB3,HMMR,CLU,SKA1,ACTG2,AURKB,MYLK,PDLIM1,CNN1,CCNB2,CALD1,FLNA,GTSE1,MPP2,SVIL,CKAP2L,PLK1,TPM1,KRT13,CORO2B,ACTA2,CENPE,TPX2,DIAPH3,PALLD,PEAK1,TRIP6,CDC42EP3,BIRC5,KIF2C,VCL
Sarcolemma (GO:0042383)	Sarcolemma (GO:0042383)	3.94190453652044e-07	1.47427229665864e-05	1	POPDC2,SYNM,CAV2,CAV1,AHNAK2,SSPN,ANXA8,PGM5,ANK2,VCL
Mitotic Spindle (GO:0072686)	Mitotic Spindle (GO:0072686)	1.35648914319901e-06	4.22772449630358e-05	1	SPAG5,CKAP2L,CAPG,SKA3,SHCBP1,SKA1,TPX2,CENPE,KIF18B,ESPL1,NUSAP1,CDK1,KIF20A,DLGAP5
Cell-cell Junction (GO:0005911)	Cell-cell Junction (GO:0005911)	1.5970598644993e-06	4.26643135230528e-05	1	COL17A1,MPP2,CDCA3,ACTN1,TGFB1I1,LDB3,SORBS1,GJC1,PDLIM1,GJA1,FRMD6,TRIM29,DCHS2,GJB3,FAT2,FLNA,FAT3,PGM5,AJUBA,FERMT2,LIMS2,VCL,EPHA2
Actin Cytoskeleton (GO:0015629)	Actin Cytoskeleton (GO:0015629)	1.38486442300443e-05	0.000323712058877285	1	SVIL,ACTN1,SYNPO2,TPM1,FHL2,LMOD1,CAPG,CORO2B,ACTG2,MYLK,ACTA2,PDLIM1,CNN1,DIAPH3,CALD1,PALLD,PEAK1,SH3PXD2B,CDC42EP3,FLNA,PLS3
Spindle Microtubule (GO:0005876)	Spindle Microtubule (GO:0005876)	4.6115392322363e-05	0.000958175373809097	1	CENPE,KIF18B,KIF4A,PLK1,CDK1,BIRC5,SKA3,AURKB,SKA1
Caveola (GO:0005901)	Caveola (GO:0005901)	6.69642245990352e-05	0.00125223100000196	1	EHD2,CAVIN1,CAV2,CAV1,KCNMA1,ATP2B4,SORBS1,TGFBR2
