GeneSet	Description	p.value	FDR	Phenotype	Genes
CYTOSKELETON IN MUSCLE CELLS	CYTOSKELETON IN MUSCLE CELLS	7.95117906867519e-09	1.97189240903145e-06	1	ITGB4,ITGA3,SYNPO2,TPM1,FHL2,LMOD1,ANK2,LDB3,ATP1A2,ACTG2,LMNB1,PDLIM1,DIAPH3,CSRP1,DAAM2,SSPN,COL4A6,MYH11,ITGB6,MYL9,VCL,ITGA9
FOCAL ADHESION	FOCAL ADHESION	4.24316318518728e-07	5.26152234963223e-05	1	LAMB3,PRKCB,CAV2,ITGB4,ITGA3,ACTN1,CAV1,MYLK,CCND2,PDGFC,CHAD,COL4A6,FLNA,ITGB6,PPP1R12B,MYL9,VCL,ITGA9
VASCULAR SMOOTH MUSCLE CONTRACTION	VASCULAR SMOOTH MUSCLE CONTRACTION	1.1289397390881e-06	9.33256850979499e-05	1	PRKCB,ADRA1A,ACTG2,MYLK,ADCY5,ACTA2,EDNRA,CALD1,KCNMB1,KCNMA1,MYH11,PPP1R12B,MYL9,PRKG1
CELL CYCLE	CELL CYCLE	1.96542379403319e-06	0.000121856275230058	1	CDCA5,PLK1,BUB1B,KNL1,CDC25C,AURKB,CDC20,SGO1,CCNB2,CCND2,CDC45,ESPL1,CDK1,E2F2,BUB1
INTEGRIN SIGNALING	INTEGRIN SIGNALING	7.13341632829464e-06	0.000353817449883414	1	LAMB3,ITGB4,ITGA3,ACTN1,CCND2,CHAD,PDGFC,COL4A6,FLNA,ITGB6,VCL,FERMT2,LIMS2,ITGA9
OOCYTE MEIOSIS	OOCYTE MEIOSIS	0.000205328924774013	0.0084869288906592	1	CDC20,SGO1,CCNB2,CPEB1,ESPL1,PLK1,CDK1,PGR,CDC25C,BUB1,ADCY5
REGULATION OF ACTIN CYTOSKELETON	REGULATION OF ACTIN CYTOSKELETON	0.00053021057003175	0.0187846030525534	1	ITGB4,ITGA3,ACTN1,IQGAP3,MYLK,DIAPH3,PDGFC,MYH11,ITGB6,PPP1R12B,MYL9,VCL,FGFR2,ITGA9
ECM-RECEPTOR INTERACTION	ECM-RECEPTOR INTERACTION	0.000691057546132915	0.0206532378471322	1	LAMB3,ITGB4,ITGA3,CHAD,COL4A6,ITGB6,HMMR,ITGA9
MICRORNAS IN CANCER	MICRORNAS IN CANCER	0.000820238671379545	0.0206532378471322	1	CCND2,PRKCB,WNT3A,CDCA5,TPM1,TIMP3,E2F2,CDC25C,HOXD10,TP63,SERPINB5
CGMP-PKG SIGNALING PATHWAY	CGMP-PKG SIGNALING PATHWAY	0.000863479623749871	0.0206532378471322	1	EDNRA,KCNJ8,KCNMB1,KCNMA1,ATP2B4,ATP1A2,MYL9,ADRA1A,PRKG1,MYLK,ADCY5
THYROID HORMONE SYNTHESIS	THYROID HORMONE SYNTHESIS	0.000916071033542154	0.0206532378471322	1	DUOX1,GPX2,PRKCB,DUOXA2,ATP1A2,DUOX2,ADCY5
HIPPO SIGNALING PATHWAY	HIPPO SIGNALING PATHWAY	0.00224199695240068	0.0463346036829474	1	MPP2,WNT10A,TCF7L1,CCND2,FRMD6,WNT3A,ID1,BIRC5,AJUBA,TGFBR2
PROGESTERONE-MEDIATED OOCYTE MATURATION	PROGESTERONE-MEDIATED OOCYTE MATURATION	0.00259408163905582	0.0494870958835264	1	CCNB2,CPEB1,PLK1,CDK1,PGR,CDC25C,BUB1,ADCY5
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY	ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY	0.00279884197329935	0.0495794863841599	1	GJA1,TCF7L1,ITGB4,ITGA3,SSPN,ITGB6,ITGA9
